University_Roll_No,College_Name,Batch,Semester,Subject_1,Subject_2,Subject_3,Subject_4,Subject_5,Subject_6,Semester_Avg,Overall_Avg
110001,College_1,1,1,47,81,55,87,93,56,69.83333333333333,67.16666666666667
110001,College_1,1,2,41,88,85,63,71,44,65.33333333333333,67.16666666666667
110001,College_1,1,3,44,100,86,44,100,97,78.5,67.16666666666667
110001,College_1,1,4,74,40,71,51,59,70,60.833333333333336,67.16666666666667
110001,College_1,1,5,44,77,77,98,41,97,72.33333333333333,67.16666666666667
110001,College_1,1,6,50,66,79,52,92,65,67.33333333333333,67.16666666666667
110001,College_1,1,7,46,40,84,59,49,41,53.166666666666664,67.16666666666667
110001,College_1,1,8,57,77,40,71,89,86,70.0,67.16666666666667
110002,College_1,1,1,41,49,70,63,73,54,58.333333333333336,69.9375
110002,College_1,1,2,77,94,40,94,65,53,70.5,69.9375
110002,College_1,1,3,49,89,80,77,64,98,76.16666666666667,69.9375
110002,College_1,1,4,82,54,92,54,56,62,66.66666666666667,69.9375
110002,College_1,1,5,53,76,75,84,93,92,78.83333333333333,69.9375
110002,College_1,1,6,69,75,76,64,57,80,70.16666666666667,69.9375
110002,College_1,1,7,79,95,51,55,87,78,74.16666666666667,69.9375
110002,College_1,1,8,63,68,42,88,60,67,64.66666666666667,69.9375
110003,College_1,1,1,60,59,88,95,74,80,76.0,70.47916666666667
110003,College_1,1,2,47,74,60,64,67,70,63.666666666666664,70.47916666666667
110003,College_1,1,3,55,51,79,81,56,46,61.333333333333336,70.47916666666667
110003,College_1,1,4,73,95,94,67,78,93,83.33333333333333,70.47916666666667
110003,College_1,1,5,95,82,53,91,40,92,75.5,70.47916666666667
110003,College_1,1,6,81,56,97,51,85,74,74.0,70.47916666666667
110003,College_1,1,7,95,59,51,45,72,42,60.666666666666664,70.47916666666667
110003,College_1,1,8,92,72,47,54,97,54,69.33333333333333,70.47916666666667
110004,College_1,1,1,56,87,60,93,60,91,74.5,66.4375
110004,College_1,1,2,69,62,86,76,58,62,68.83333333333333,66.4375
110004,College_1,1,3,59,59,88,78,46,56,64.33333333333333,66.4375
110004,College_1,1,4,94,78,45,90,47,64,69.66666666666667,66.4375
110004,College_1,1,5,81,77,40,73,53,63,64.5,66.4375
110004,College_1,1,6,81,80,56,89,55,61,70.33333333333333,66.4375
110004,College_1,1,7,65,61,46,66,45,90,62.166666666666664,66.4375
110004,College_1,1,8,53,47,80,57,50,56,57.166666666666664,66.4375
110005,College_1,1,1,46,73,95,74,49,98,72.5,68.20833333333333
